time,meteo
2024-04-05T00:00:00+00:00,2.56
2024-04-05T01:00:00+00:00,2.9
2024-04-05T02:00:00+00:00,3.08
2024-04-05T03:00:00+00:00,3.61
2024-04-05T04:00:00+00:00,4.0
2024-04-05T05:00:00+00:00,4.18
2024-04-05T06:00:00+00:00,4.53
2024-04-05T07:00:00+00:00,4.95
2024-04-05T08:00:00+00:00,5.1
2024-04-05T09:00:00+00:00,4.88
2024-04-05T10:00:00+00:00,4.53
2024-04-05T11:00:00+00:00,4.03
2024-04-05T12:00:00+00:00,3.84
2024-04-05T13:00:00+00:00,3.88
2024-04-05T14:00:00+00:00,3.76
2024-04-05T15:00:00+00:00,3.45
2024-04-05T16:00:00+00:00,3.18
2024-04-05T17:00:00+00:00,3.35
2024-04-05T18:00:00+00:00,3.45
2024-04-05T19:00:00+00:00,3.41
2024-04-05T20:00:00+00:00,3.74
2024-04-05T21:00:00+00:00,3.86
2024-04-05T22:00:00+00:00,3.92
2024-04-05T23:00:00+00:00,3.48
2024-04-06T00:00:00+00:00,3.38
2024-04-06T01:00:00+00:00,3.74
2024-04-06T02:00:00+00:00,3.66
2024-04-06T03:00:00+00:00,3.56
2024-04-06T04:00:00+00:00,3.55
2024-04-06T05:00:00+00:00,3.61
2024-04-06T06:00:00+00:00,3.33
2024-04-06T07:00:00+00:00,3.47
2024-04-06T08:00:00+00:00,3.54
2024-04-06T09:00:00+00:00,3.61
2024-04-06T10:00:00+00:00,3.7
2024-04-06T11:00:00+00:00,3.64
2024-04-06T12:00:00+00:00,3.28
2024-04-06T13:00:00+00:00,3.18
2024-04-06T14:00:00+00:00,3.26
2024-04-06T15:00:00+00:00,3.35
2024-04-06T16:00:00+00:00,3.26
2024-04-06T17:00:00+00:00,3.18
2024-04-06T18:00:00+00:00,3.0
2024-04-06T19:00:00+00:00,2.97
2024-04-06T20:00:00+00:00,3.04
2024-04-06T21:00:00+00:00,3.01
2024-04-06T22:00:00+00:00,2.5
2024-04-06T23:00:00+00:00,2.21
2024-04-07T00:00:00+00:00,2.09
2024-04-07T01:00:00+00:00,3.01
2024-04-07T02:00:00+00:00,3.32
2024-04-07T03:00:00+00:00,3.77
2024-04-07T04:00:00+00:00,3.9
2024-04-07T05:00:00+00:00,4.52
2024-04-07T06:00:00+00:00,4.92
2024-04-07T07:00:00+00:00,4.92
2024-04-07T08:00:00+00:00,5.14
2024-04-07T09:00:00+00:00,5.01
2024-04-07T10:00:00+00:00,4.74
2024-04-07T11:00:00+00:00,4.31
2024-04-07T12:00:00+00:00,3.72
2024-04-07T13:00:00+00:00,3.71
2024-04-07T14:00:00+00:00,3.67
2024-04-07T15:00:00+00:00,3.58
2024-04-07T16:00:00+00:00,3.62
2024-04-07T17:00:00+00:00,3.53
2024-04-07T18:00:00+00:00,3.14
2024-04-07T19:00:00+00:00,3.14
2024-04-07T20:00:00+00:00,2.92
2024-04-07T21:00:00+00:00,2.47
2024-04-07T22:00:00+00:00,2.31
2024-04-07T23:00:00+00:00,2.26
2024-04-08T00:00:00+00:00,1.63
2024-04-08T01:00:00+00:00,2.67
2024-04-08T02:00:00+00:00,3.3
2024-04-08T03:00:00+00:00,3.57
2024-04-08T04:00:00+00:00,3.52
2024-04-08T05:00:00+00:00,3.67
2024-04-08T06:00:00+00:00,3.96
2024-04-08T07:00:00+00:00,4.34
2024-04-08T08:00:00+00:00,4.48
2024-04-08T09:00:00+00:00,4.47
2024-04-08T10:00:00+00:00,4.2
2024-04-08T11:00:00+00:00,3.98
2024-04-08T12:00:00+00:00,3.62
2024-04-08T13:00:00+00:00,3.54
2024-04-08T14:00:00+00:00,3.4
2024-04-08T15:00:00+00:00,3.32
2024-04-08T16:00:00+00:00,3.2
2024-04-08T17:00:00+00:00,3.05
2024-04-08T18:00:00+00:00,2.66
2024-04-08T19:00:00+00:00,2.26
2024-04-08T20:00:00+00:00,2.24
2024-04-08T21:00:00+00:00,2.2
2024-04-08T22:00:00+00:00,2.2
2024-04-08T23:00:00+00:00,2.1
2024-04-09T00:00:00+00:00,2.06
2024-04-09T01:00:00+00:00,3.01
2024-04-09T02:00:00+00:00,3.4
2024-04-09T03:00:00+00:00,3.71
2024-04-09T04:00:00+00:00,4.24
2024-04-09T05:00:00+00:00,5.0
2024-04-09T06:00:00+00:00,5.41
2024-04-09T07:00:00+00:00,5.84
2024-04-09T08:00:00+00:00,6.01
2024-04-09T09:00:00+00:00,5.8
2024-04-09T10:00:00+00:00,5.7
2024-04-09T11:00:00+00:00,5.0
2024-04-09T12:00:00+00:00,4.5
2024-04-09T13:00:00+00:00,4.81
2024-04-09T14:00:00+00:00,4.92
2024-04-09T15:00:00+00:00,5.12
2024-04-09T16:00:00+00:00,5.2
2024-04-09T17:00:00+00:00,5.51
2024-04-09T18:00:00+00:00,5.51
2024-04-09T19:00:00+00:00,5.32
2024-04-09T20:00:00+00:00,5.04
2024-04-09T21:00:00+00:00,5.02
2024-04-09T22:00:00+00:00,5.32
2024-04-09T23:00:00+00:00,5.3
2024-04-10T00:00:00+00:00,5.01
2024-04-10T01:00:00+00:00,6.13
2024-04-10T02:00:00+00:00,5.94
2024-04-10T03:00:00+00:00,6.14
2024-04-10T04:00:00+00:00,6.61
2024-04-10T05:00:00+00:00,6.51
2024-04-10T06:00:00+00:00,6.71
2024-04-10T07:00:00+00:00,6.52
2024-04-10T08:00:00+00:00,6.02
2024-04-10T09:00:00+00:00,5.8
2024-04-10T10:00:00+00:00,5.5
2024-04-10T11:00:00+00:00,5.0
2024-04-10T12:00:00+00:00,4.51
2024-04-10T13:00:00+00:00,4.7
2024-04-10T14:00:00+00:00,5.2
2024-04-10T15:00:00+00:00,5.2
2024-04-10T16:00:00+00:00,5.1
2024-04-10T17:00:00+00:00,4.8
2024-04-10T18:00:00+00:00,4.7
2024-04-10T19:00:00+00:00,4.9
2024-04-10T20:00:00+00:00,5.0
2024-04-10T21:00:00+00:00,5.1
2024-04-10T22:00:00+00:00,5.0
2024-04-10T23:00:00+00:00,4.61
2024-04-11T00:00:00+00:00,5.02
2024-04-11T01:00:00+00:00,5.84
2024-04-11T02:00:00+00:00,6.26
2024-04-11T03:00:00+00:00,6.45
2024-04-11T04:00:00+00:00,6.44
2024-04-11T05:00:00+00:00,6.42
2024-04-11T06:00:00+00:00,6.43
2024-04-11T07:00:00+00:00,6.32
2024-04-11T08:00:00+00:00,6.11
2024-04-11T09:00:00+00:00,5.71
2024-04-11T10:00:00+00:00,5.21
2024-04-11T11:00:00+00:00,4.6
2024-04-11T12:00:00+00:00,4.41
2024-04-11T13:00:00+00:00,4.3
2024-04-11T14:00:00+00:00,4.3
